Selected,User ID,Vehicle Model,Time of Day,Battery Capacity (kWh),Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Distance Driven (since last charge) (km),Temperature (°C)
No,User_1,BMW i3,Evening,108.463,60.7123,0.591363,36.3892,13.0877,293.602,27.948
No,User_2,Hyundai Kona,Morning,100,12.3393,3.13365,30.6777,21.1284,112.113,14.311
No,User_3,Chevy Bolt,Morning,75,19.1289,2.45265,27.5136,35.6673,71.7993,21.002
No,User_4,Hyundai Kona,Evening,50,79.4578,1.26643,32.8829,13.0362,199.578,38.3163
No,User_5,Hyundai Kona,Morning,50,19.6291,2.01977,10.2157,10.1615,203.662,-7.8342
No,User_6,Nissan Leaf,Evening,50,43.1811,1.16764,14.3345,36.9003,143.68,-5.27422
No,User_7,Chevy Bolt,Evening,85,36.8621,3.53962,26.1852,22.2142,81.338,27.5513
No,User_8,Chevy Bolt,Afternoon,75,51.4676,2.6554,26.7029,9.79682,116.543,-4.41746
No,User_9,Chevy Bolt,Evening,62,43.5924,1.7242,14.2949,32.465,208.26,22.5167
No,User_10,Hyundai Kona,Morning,50,78.8686,2.02687,11.761,21.3123,54.0063,27.512
No,User_11,BMW i3,Night,50,18.2062,2.64864,10.3107,38.2212,64.6346,0.500434
No,User_12,Chevy Bolt,Evening,85,22.5649,2.05789,4.46482,14.0509,194.764,34.2626
No,User_13,Hyundai Kona,Afternoon,100,34.2565,3.06558,5.52369,10.9721,249.128,23.663
No,User_14,Nissan Leaf,Morning,75,16.5611,3.59097,19.7691,37.4419,159.232,34.1103
No,User_15,BMW i3,Afternoon,85,12.9275,3.42181,24.2112,18.5528,155.361,39.5054
No,User_16,Nissan Leaf,Evening,100,27.3543,2.70329,11.1125,33.0935,247.659,-8.30214
No,User_17,BMW i3,Evening,97.6818,24.7269,3.45868,49.4027,17.4948,237.306,4.41533
No,User_18,Hyundai Kona,Evening,50,23.824,0.848218,6.61428,6.43059,22.0068,18.4057
No,User_19,Tesla Model 3,Evening,100,42.638,0.807532,20.4908,25.0788,280.862,37.4304
No,User_20,BMW i3,Morning,50,48.4825,2.58093,45.2914,7.09084,243.256,9.20241
No,User_21,Nissan Leaf,Night,50,50.2791,3.16887,30.49,28.8729,15.4204,33.9803
No,User_22,Hyundai Kona,Evening,62,59.135,2.93176,25.963,34.8532,219.626,-2.75507
No,User_23,BMW i3,Afternoon,75,49.1964,2.56282,19.1949,14.8561,298.188,39.9589
No,User_24,Tesla Model 3,Morning,100,68.4471,2.07143,49.7103,38.4061,280.915,3.58084
No,User_25,Tesla Model 3,Morning,100,27.6044,0.957138,11.2385,24.0375,173.472,35.9778
No,User_26,Chevy Bolt,Morning,75,40.178,3.60417,12.3186,38.7632,82.7546,21.5368
No,User_27,Chevy Bolt,Afternoon,75,43.4878,3.65254,36.1824,27.4483,80.9127,29.8722
No,User_28,Nissan Leaf,Night,50,10.3385,1.54771,45.7767,9.85583,162.687,5.50476
No,User_29,BMW i3,Afternoon,75,31.6845,2.43968,48.6487,25.6171,153.597,20.3786
No,User_30,BMW i3,Afternoon,75,56.5933,3.15326,45.8117,33.1321,186.156,12.3334
No,User_31,Chevy Bolt,Afternoon,100,19.4738,1.43553,7.04394,36.9453,153.597,8.35291
No,User_32,BMW i3,Evening,100,38.2892,2.00766,12.0644,17.0118,238.909,2.27316
No,User_33,BMW i3,Evening,100,16.1362,1.30693,21.5178,26.4382,35.5039,39.384
No,User_34,Tesla Model 3,Afternoon,62,60.0671,0.9991,7.65157,18.0344,46.3576,13.9916
No,User_35,Chevy Bolt,Afternoon,75,57.7244,1.87358,4.48565,35.503,157.615,28.4298
No,User_36,Hyundai Kona,Evening,75,37.3745,2.89168,18.8658,29.8662,76.2035,59.932
No,User_37,Chevy Bolt,Evening,75,39.9406,3.47,28.6252,15.8553,102.43,31.4613
No,User_38,Hyundai Kona,Night,75,73.3866,1.04045,38.4508,15.8827,42.0957,33.9296
No,User_39,Tesla Model 3,Afternoon,85,61.5208,1.28041,12.5102,26.5057,141.244,5.76105
No,User_40,Nissan Leaf,Morning,100,68.1779,3.24245,23.3116,8.49857,130.376,-3.19146
No,User_41,BMW i3,Night,79.7992,67.5181,1.96234,6.89788,29.2224,119.631,35.2332
No,User_42,Tesla Model 3,Morning,100,39.3987,2.39772,20.4604,26.6197,111.017,19.7811
No,User_43,BMW i3,Night,85,12.0493,1.37388,29.4689,32.0421,83.2452,39.4161
No,User_44,Nissan Leaf,Afternoon,48.7965,77.0536,3.0302,8.38804,6.36463,144.014,22.0695
No,User_45,Nissan Leaf,Morning,75,42.6429,3.29606,5.11461,30.038,49.3843,32.0146
No,User_46,Tesla Model 3,Evening,62,46.8072,3.87799,16.9183,10.6089,210.171,-0.039079
No,User_47,Nissan Leaf,Night,75,67.4755,2.10512,49.6008,19.0307,97.4539,3.19412
No,User_48,Hyundai Kona,Morning,62,30.7109,1.63367,6.35266,18.1318,18.9345,27.8952
No,User_49,Nissan Leaf,Night,85,42.6429,1.74344,14.1497,13.1129,212.94,-4.44667
No,User_50,BMW i3,Afternoon,100,8.71319,2.20954,49.2753,9.6441,170.475,5.37808
No,User_51,BMW i3,Morning,85,9.06588,0.512378,40.178,24.5019,226.219,30.692
No,User_52,BMW i3,Morning,50,58.734,1.88926,13.1757,28.1023,57.3807,1.94111
No,User_53,BMW i3,Morning,50,65.9862,3.3138,46.2784,18.8496,234.997,-7.71943
No,User_54,Hyundai Kona,Night,62,74.9997,1.9113,35.9251,34.0866,51.8284,17.8054
No,User_55,Chevy Bolt,Evening,100,17.7694,3.31408,34.4582,9.7985,166.311,19.7034
No,User_56,Tesla Model 3,Evening,76.8761,50.2689,1.67836,36.3034,38.9419,133.992,3.04283
No,User_57,BMW i3,Evening,69.8841,76.4505,3.87345,11.3391,30.1922,191.938,10.4246
No,User_58,Nissan Leaf,Afternoon,62,77.8637,0.917902,47.154,28.3032,129.389,38.4668
No,User_59,BMW i3,Morning,100,21.893,1.28528,25.374,8.63782,148.416,5.07317
No,User_60,Nissan Leaf,Evening,100,71.28,2.41375,40.6164,6.74473,140.465,33.0577
No,User_61,Nissan Leaf,Evening,62,21.8277,2.0821,26.5071,36.068,48.0444,38.6564
No,User_62,BMW i3,Morning,75,62.7232,2.11789,30.997,30.0444,282.942,32.8527
No,User_63,Hyundai Kona,Afternoon,124.316,46.1951,0.650508,47.8775,30.8642,25.0273,6.17126
No,User_64,Nissan Leaf,Night,100,29.3457,2.48209,6.87118,24.6498,127.022,34.0619
No,User_65,Nissan Leaf,Night,50,76.9334,2.12342,34.1769,34.2283,295.894,7.94169
No,User_66,BMW i3,Night,62,59.2546,1.27962,25.963,12.2204,167.298,35.2715
No,User_67,Nissan Leaf,Morning,100,37.0629,1.6091,15.2301,37.8753,98.146,16.4837
No,User_68,Nissan Leaf,Afternoon,85,67.6952,0.857582,32.9751,13.7756,81.2845,-7.33265
No,User_69,BMW i3,Morning,75,16.414,1.70297,25.963,21.6678,188.471,18.5387
No,User_70,BMW i3,Night,50,67.0057,3.60803,4.09236,14.424,276.368,-2.7249
No,User_71,Tesla Model 3,Evening,75,70.6173,3.28014,26.0704,15.4708,23.004,34.8479
No,User_72,Hyundai Kona,Evening,75,61.1305,0.947277,23.2818,37.149,58.8553,7.66265
No,User_73,Hyundai Kona,Evening,85,22.882,1.56947,29.9892,10.7096,98.474,19.2132
No,User_74,Nissan Leaf,Night,59.8327,12.8949,0.581505,40.8841,15.1973,183.171,28.6376
No,User_75,Hyundai Kona,Afternoon,85,69.1692,2.28524,5.55736,20.7665,276.575,20.0143
No,User_76,Nissan Leaf,Night,50,42.6429,3.52069,9.56925,24.7907,171.896,-5.27573
No,User_77,Tesla Model 3,Morning,100,49.2788,3.86514,49.4115,39.9317,246.344,30.0821
No,User_78,BMW i3,Afternoon,75,31.2189,3.341,30.0259,17.6049,242.486,39.8314
No,User_79,BMW i3,Evening,100,30.6517,1.02882,28.5224,39.3221,12.1495,-4.93274
